chr	start	end	strand	ens	Symbol
chr3	102876937	102878937	+	ENSMUSG00000070385	Ampd1
chr10	75699610	75701610	-	ENSMUSG00000020230	Prmt2
chr14	118761954	118763954	+	ENSMUSG00000091690	Gm17668
chr5	117040826	117042826	-	ENSMUSG00000063919	Srrm4
chr12	114954314	114956314	-	ENSMUSG00000076642	Ighv2-6
chr1	161973515	161975515	+	ENSMUSG00000090394	4930523C07Rik
chrX	10061284	10063284	+	ENSMUSG00000058254	Tspan7
chr18	35023763	35025763	-	ENSMUSG00000091428	Gm17507
chr2	92754255	92756255	+	ENSMUSG00000027220	Syt13
chr16	78930193	78932193	+	ENSMUSG00000022860	Chodl
chr10	86194133	86196133	-	ENSMUSG00000056366	Fabp3-ps1
chr5	93103297	93105297	-	ENSMUSG00000050050	Ccdc158
chr9	42207012	42209012	-	ENSMUSG00000037705	Tecta
chr2	26997011	26999011	-	ENSMUSG00000009216	Fam163b
chr14	20795849	20797849	-	ENSMUSG00000043004	Gng2
chr5	8659077	8661077	+	ENSMUSG00000040584	Abcb1a
chr12	109939516	109941516	-	ENSMUSG00000021263	Degs2
chr18	37606311	37608311	+	ENSMUSG00000044043	Pcdhb14
chr11	101847327	101849327	-	ENSMUSG00000003518	Dusp3
chr2	180376413	180378413	-	ENSMUSG00000038932	Tcfl5
chr5	23918269	23920269	+	ENSMUSG00000038276	Accn3
chr15	101240474	101242474	+	ENSMUSG00000023039	Krt7
chr10	79336379	79338379	-	ENSMUSG00000035835	BC005764
chr7	119301571	119303571	-	ENSMUSG00000030772	Dkk3
chr3	48412023	48414023	-	ENSMUSG00000037910	1700018B24Rik
chr8	47295638	47297638	-	ENSMUSG00000031633	Slc25a4
chr16	16212411	16214411	+	ENSMUSG00000041957	Pkp2
chr6	92889363	92891363	+	ENSMUSG00000087573	9530026P05Rik
chr7	117910720	117912720	+	ENSMUSG00000005686	Ampd3
chr14	56331329	56333329	-	ENSMUSG00000022218	Tgm1
chr8	47084221	47086221	-	ENSMUSG00000050914	Ankrd37
chr2	155575853	155577853	+	ENSMUSG00000027611	Procr
chr1	169395911	169397911	-	ENSMUSG00000040485	Lrrc52
chr11	97883348	97885348	-	ENSMUSG00000020882	Cacnb1
chr1	84691414	84693414	+	ENSMUSG00000093254	Mir5126
chr6	18119687	18121687	+	ENSMUSG00000041301	Cftr
chr16	55838012	55840012	-	ENSMUSG00000035356	Nfkbiz
chr11	31723524	31725524	-	ENSMUSG00000085772	D630024D03Rik
chr9	75078821	75080821	+	ENSMUSG00000033590	Myo5c
chr7	134758311	134760311	-	ENSMUSG00000045639	Zfp629
chr2	130467539	130469539	-	ENSMUSG00000037703	Prosapip1
chr19	41068025	41070025	-	ENSMUSG00000061132	Blnk
chr2	131969844	131971844	-	ENSMUSG00000027340	Slc23a2
chr16	45935436	45937436	+	ENSMUSG00000085781	Gm15640
chr4	124557143	124559143	+	ENSMUSG00000028876	Epha10
chr4	100936887	100938887	-	ENSMUSG00000028530	Jak1
chr1	107251584	107253584	+	ENSMUSG00000090759	Gm17634
chr11	78958909	78960909	-	ENSMUSG00000018334	Ksr1
chr11	83275573	83277573	-	ENSMUSG00000020682	Mmp28
chr5	121097821	121099821	+	ENSMUSG00000029602	Rasal1
chr15	74784481	74786481	+	ENSMUSG00000022587	Ly6e
chr7	133769524	133771524	-	ENSMUSG00000030717	Nupr1
chr18	74223756	74225756	+	ENSMUSG00000053861	Gm9925
chr17	56895953	56897953	-	ENSMUSG00000039481	Nrtn
chr14	115442073	115444073	+	ENSMUSG00000065403	Mir18
chr1	181889603	181891603	+	ENSMUSG00000026490	Cdc42bpa
chr3	90340176	90342176	+	ENSMUSG00000074457	S100a16
chr13	12432027	12434027	-	ENSMUSG00000052374	Actn2
chr19	17430157	17432157	-	ENSMUSG00000038843	Gcnt1
chr7	35999389	36001389	-	ENSMUSG00000001802	Lrp3
chr2	6177312	6179312	-	ENSMUSG00000087485	Gm13383
chr10	11062202	11064202	+	ENSMUSG00000055493	Epm2a
chr14	75529690	75531690	-	ENSMUSG00000021997	Lrrc63
chr16	76373072	76375072	-	ENSMUSG00000048490	Nrip1
chr2	162732660	162734660	+	ENSMUSG00000082514	Gm11452
chr12	110823281	110825281	+	ENSMUSG00000072900	Mir540
chr3	151828194	151830194	-	ENSMUSG00000039131	Gipc2
chr1	89365839	89367839	+	ENSMUSG00000026258	3110079O15Rik
chr4	140923135	140925135	+	ENSMUSG00000006218	Fam131c
chrX	42142374	42144374	-	ENSMUSG00000045284	Dcaf12l1
chr6	148848660	148850660	-	ENSMUSG00000081338	Gm7618
chr4	101090882	101092882	+	ENSMUSG00000028527	Ak4
chr16	62853133	62855133	+	ENSMUSG00000022912	Pros1
chr17	68045605	68047605	+	ENSMUSG00000032796	Lama1
chr6	128348314	128350314	+	ENSMUSG00000001520	Nrip2
chr12	88328626	88330626	-	ENSMUSG00000048483	Zdhhc22
chr11	57613919	57615919	-	ENSMUSG00000087165	2010001A14Rik
chr3	142363015	142365015	+	ENSMUSG00000040213	Ccbl2
chr10	19431393	19433393	+	ENSMUSG00000020007	Il20ra
chr1	36363578	36365578	+	ENSMUSG00000037447	Arid5a
chr2	164002320	164004320	+	ENSMUSG00000085649	A730032A03Rik
chr3	141831389	141833389	-	ENSMUSG00000052430	Bmpr1b
chrX	78315037	78317037	+	ENSMUSG00000025666	Tmem47
chr19	21546935	21548935	-	ENSMUSG00000058624	Gda
chr1	53352939	53354939	+	ENSMUSG00000026097	Ormdl1
chr2	132872288	132874288	-	ENSMUSG00000082940	Gm14103
chr15	98437064	98439064	-	ENSMUSG00000022994	Adcy6
chr3	36374057	36376057	+	ENSMUSG00000027713	1810062G17Rik
chr7	86761543	86763543	-	ENSMUSG00000030549	Rhcg
chr2	180868996	180870996	-	ENSMUSG00000016346	Kcnq2
chr7	134092096	134094096	-	ENSMUSG00000046378	Asphd1
chr5	8892717	8894717	+	ENSMUSG00000042476	Abcb4
chrX	137908928	137910928	+	ENSMUSG00000031274	Col4a5
chr15	82862736	82864736	-	ENSMUSG00000058099	Nfam1
chr17	35202129	35204129	-	ENSMUSG00000073414	AU023871
chr8	122158580	122160580	-	ENSMUSG00000045246	Kcng4
chr2	21289738	21291738	-	ENSMUSG00000085680	Gm13327
chr4	99320674	99322674	-	ENSMUSG00000086096	Gm12688
chr5	137727747	137729747	+	ENSMUSG00000023328	Ache
chr12	112950468	112952468	-	ENSMUSG00000049792	Bag5
chr10	76880015	76882015	-	ENSMUSG00000020262	Adarb1
chr10	127983830	127985830	-	ENSMUSG00000039810	Zc3h10
chr5	44211878	44213878	-	ENSMUSG00000039753	Fbxl5
chr9	21051887	21053887	-	ENSMUSG00000045087	S1pr5
chr2	25096775	25098775	+	ENSMUSG00000044628	Rnf208
chr4	82152920	82154920	+	ENSMUSG00000087413	Gm11266
chr12	75049772	75051772	-	ENSMUSG00000087700	Gm15283
chr13	55049772	55051772	+	ENSMUSG00000025876	Unc5a
chr7	28713479	28715479	-	ENSMUSG00000070709	1700049G17Rik
chr2	130522255	130524255	-	ENSMUSG00000074796	Slc4a11
chr15	82209690	82211690	-	ENSMUSG00000061740	Cyp2d22
chr15	34166781	34168781	+	ENSMUSG00000022257	Laptm4b
chr2	107129796	107131796	+	ENSMUSG00000042604	Kcna4
chr18	40417015	40419015	+	ENSMUSG00000051401	Kctd16
chr9	65674371	65676371	-	ENSMUSG00000040524	Zfp609
chr13	109003598	109005598	+	ENSMUSG00000021696	Elovl7
chr19	6417606	6419606	-	ENSMUSG00000084876	Gm14965
chr8	86423004	86425004	+	ENSMUSG00000013033	Lphn1
chr17	33774001	33776001	+	ENSMUSG00000032739	Pram1
chr9	111340585	111342585	+	ENSMUSG00000032500	Dclk3
chr11	74402688	74404688	-	ENSMUSG00000038807	Rap1gap2
chr12	27099121	27101121	-	ENSMUSG00000020642	Rnf144a
chr8	41508169	41510169	+	ENSMUSG00000039470	Zdhhc2
chr15	85035379	85037379	+	ENSMUSG00000006369	Fbln1
chrX	91611456	91613456	+	ENSMUSG00000079508	Apoo
chr2	154843002	154845002	+	ENSMUSG00000084897	Gm14226
chr10	126616701	126618701	-	ENSMUSG00000040441	Slc26a10
chr2	83780385	83782385	-	ENSMUSG00000034552	Zswim2
chr8	26563745	26565745	+	ENSMUSG00000074412	Gm10689
chr4	146901283	146903283	-	ENSMUSG00000082599	Gm13141
chrX	98254006	98256006	-	ENSMUSG00000009670	Tex11
chr8	48908836	48910836	+	ENSMUSG00000038064	Cldn22
chr2	60390365	60392365	-	ENSMUSG00000054580	Pla2r1
chr19	60018557	60020557	-	ENSMUSG00000040022	Rab11fip2
chr4	119832811	119834811	+	ENSMUSG00000028635	Edn2
chr10	126950995	126952995	+	ENSMUSG00000040280	Ndufa4l2
chr4	34136166	34138166	-	ENSMUSG00000028264	Spaca1
chr3	105775629	105777629	+	ENSMUSG00000074340	Ovgp1
chr4	117555092	117557092	-	ENSMUSG00000028541	B4galt2
chr11	89890662	89892662	+	ENSMUSG00000069763	Tmem100
chr11	58761413	58763413	+	ENSMUSG00000056895	Hist3h2ba
chr9	90164642	90166642	-	ENSMUSG00000037410	Tbc1d2b
chr6	124812935	124814935	-	ENSMUSG00000038390	Gpr162
chr3	92818609	92820609	-	ENSMUSG00000027913	Crct1
chr17	3083183	3085183	-	ENSMUSG00000023795	Pisd-ps2
chr4	58955500	58957500	+	ENSMUSG00000038630	Zkscan16
chr18	31606069	31608069	-	ENSMUSG00000024261	Syt4
chr17	57197528	57199528	+	ENSMUSG00000044279	Crb3
chr2	164765280	164767280	+	ENSMUSG00000017737	Mmp9
chr18	37814561	37816561	+	ENSMUSG00000073590	3222401L13Rik
chr6	119493336	119495336	-	ENSMUSG00000030170	Wnt5b
chr4	33287739	33289739	+	ENSMUSG00000083887	Gm11930
chr1	184883919	184885919	+	ENSMUSG00000079164	Tlr5
chr19	42119100	42121100	+	ENSMUSG00000025176	Hoga1
chr4	131906687	131908687	+	ENSMUSG00000091021	Gm17300
chr7	4984720	4986720	+	ENSMUSG00000063757	4632433K11Rik
chr2	24908875	24910875	+	ENSMUSG00000006476	Nelf
chr9	70699357	70701357	+	ENSMUSG00000078305	Gm3436
chr15	91021238	91023238	-	ENSMUSG00000055782	Abcd2
chr15	101403335	101405335	-	ENSMUSG00000022986	Krt75
chr4	153399261	153401261	-	ENSMUSG00000078350	1190007F08Rik
chr15	103367423	103369423	-	ENSMUSG00000022490	Ppp1r1a
chr14	22532798	22534798	-	ENSMUSG00000063821	Dupd1
chr3	19594396	19596396	-	ENSMUSG00000049796	Crh
chr2	31939377	31941377	-	ENSMUSG00000050592	Fam78a
chrX	6952051	6954051	+	ENSMUSG00000087252	Gm14379
chr5	122298037	122300037	+	ENSMUSG00000044134	Fam109a
chr3	85690440	85692440	-	ENSMUSG00000031286	Glt28d2
chr3	85690438	85692438	-	ENSMUSG00000074513	Arfip1
chr2	128687717	128689717	+	ENSMUSG00000027386	Fbln7
chr18	67502218	67504218	+	ENSMUSG00000024526	Cidea
chr13	43654495	43656495	-	ENSMUSG00000021371	Ccdc90a
chr4	131265423	131267423	-	ENSMUSG00000086856	Gm16080
chr15	54401921	54403921	+	ENSMUSG00000024479	Mal2
chr17	21519712	21521712	+	ENSMUSG00000062743	Zfp677
chr11	78310256	78312256	-	ENSMUSG00000050132	Sarm1
chr19	4438003	4440003	+	ENSMUSG00000087132	A930001C03Rik
chr7	29500823	29502823	+	ENSMUSG00000030598	Fbxo17
chr3	97100701	97102701	-	ENSMUSG00000079160	Gm17608
chr4	118215649	118217649	-	ENSMUSG00000050854	Tmem125
chr8	83403378	83405378	-	ENSMUSG00000031714	Gab1
chr8	23170193	23172193	+	ENSMUSG00000063362	Alg11
chr16	48409537	48411537	-	ENSMUSG00000064932	n-R5s36
chr5	112189745	112191745	-	ENSMUSG00000085271	E130006D01Rik
chr5	138181835	138183835	-	ENSMUSG00000045348	6430598A04Rik
chr2	73421907	73423907	+	ENSMUSG00000086382	Gm13705
chr4	122859470	122861470	+	ENSMUSG00000046093	Hpcal4
chr2	92752820	92754820	-	ENSMUSG00000086980	Gm13791
chr7	137719998	137721998	+	ENSMUSG00000030852	Tacc2
chr6	29128584	29130584	-	ENSMUSG00000079654	Prrt4
chr11	69176521	69178521	+	ENSMUSG00000091095	Gm17305
chr2	19606784	19608784	-	ENSMUSG00000087246	Gm13346
chr7	148285445	148287445	-	ENSMUSG00000025494	Sigirr
chr10	79641227	79643227	+	ENSMUSG00000003070	Efna2
chr5	113443811	113445811	-	ENSMUSG00000042249	Adrbk2
chr11	79966607	79968607	+	ENSMUSG00000020709	Adap2
chr3	153568102	153570102	-	ENSMUSG00000005493	Msh4
chr7	116153339	116155339	+	ENSMUSG00000031028	Tub
chr10	33846778	33848778	-	ENSMUSG00000046031	Fam26f
chr6	121194924	121196924	+	ENSMUSG00000030107	Usp18
chr19	25310465	25312465	+	ENSMUSG00000032702	Kank1
chr1	161973715	161975715	+	ENSMUSG00000050883	4930523C07Rik
chr17	34700213	34702213	+	ENSMUSG00000015468	Notch4
chr17	35262318	35264318	+	ENSMUSG00000043311	D17H6S53E
chr14	70976654	70978654	+	ENSMUSG00000045211	Nudt18
chr1	82582496	82584496	+	ENSMUSG00000079465	Col4a3
chr10	116584530	116586530	-	ENSMUSG00000020170	Frs2
chr7	52624953	52626953	-	ENSMUSG00000003872	Lin7b
chr5	46029740	46031740	-	ENSMUSG00000015879	Fam184b
chr1	154253655	154255655	-	ENSMUSG00000080878	Gm15618
chr12	82731356	82733356	+	ENSMUSG00000042734	Ttc9
chr5	108116034	108118034	-	ENSMUSG00000091666	Gm17717
chrX	97962061	97964061	+	ENSMUSG00000000881	Dlg3
chr19	40689376	40691376	+	ENSMUSG00000090041	Gm16027
chr11	114951745	114953745	+	ENSMUSG00000020732	Rab37
chr3	96024044	96026044	+	ENSMUSG00000068854	Hist2h2be
chr5	24262826	24264826	-	ENSMUSG00000038135	Crygn
chr10	120470016	120472016	+	ENSMUSG00000020218	Wif1
chr2	178164236	178166236	+	ENSMUSG00000039155	Cdh26
chr15	97597403	97599403	-	ENSMUSG00000022469	Rapgef3
chr7	5006754	5008754	+	ENSMUSG00000035228	Ccdc106
chr3	108086009	108088009	+	ENSMUSG00000068747	Sort1
chr2	122292262	122294262	-	ENSMUSG00000081219	Bambi-ps1
chr2	154232835	154234835	-	ENSMUSG00000027488	Snta1
chr12	88639655	88641655	-	ENSMUSG00000050671	Ism2
chr19	40941876	40943876	+	ENSMUSG00000087183	E030007J07Rik
chr19	40941876	40943876	+	ENSMUSG00000087183	E030044B06Rik
chr5	101226619	101228619	-	ENSMUSG00000035266	Helq
chr1	155271292	155273292	+	ENSMUSG00000042708	1700012A16Rik
chrX	150265768	150267768	+	ENSMUSG00000046550	Spin2
chr7	96665096	96667096	-	ENSMUSG00000039405	Prss23
chr7	97051139	97053139	-	ENSMUSG00000039391	Ccdc81
chr12	114166706	114168706	-	ENSMUSG00000002799	Jag2
chr7	125739811	125741811	+	ENSMUSG00000030650	Tmc5
chr3	95362599	95364599	+	ENSMUSG00000028109	Hormad1
chr7	106386129	106388129	-	ENSMUSG00000052396	Mogat2
chr7	135389326	135391326	+	ENSMUSG00000030782	Tgfb1i1
chr11	72126946	72128946	+	ENSMUSG00000070388	Fbxo39
chr5	135027304	135029304	-	ENSMUSG00000063146	Clip2
chr8	122363479	122365479	-	ENSMUSG00000031827	Cotl1
chr4	45651808	45653808	+	ENSMUSG00000085980	Gm12408
chr11	99211418	99213418	-	ENSMUSG00000017588	Krt27
chr3	107697739	107699739	+	ENSMUSG00000004032	Gstm5
chr1	74794795	74796795	-	ENSMUSG00000006542	Prkag3
chr9	110759471	110761471	+	ENSMUSG00000048752	Prss50
chr11	54714955	54716955	+	ENSMUSG00000018339	Gpx3
chr15	88889156	88891156	+	ENSMUSG00000058441	Panx2
chr3	107894707	107896707	+	ENSMUSG00000009108	Gnat2
chr14	33278095	33280095	-	ENSMUSG00000021919	Chat
chr16	35540231	35542231	+	ENSMUSG00000052133	Sema5b
chr11	94382056	94384056	-	ENSMUSG00000039110	Mycbpap
chr4	16089794	16091794	-	ENSMUSG00000041135	Ripk2
chr15	102086948	102088948	-	ENSMUSG00000001288	Rarg
chr11	80289548	80291548	+	ENSMUSG00000048895	Cdk5r1
chr13	113441518	113443518	-	ENSMUSG00000021758	Ddx4
chr9	45126183	45128183	+	ENSMUSG00000037129	Tmprss13
chr7	19678943	19680943	+	ENSMUSG00000040841	Six5
chr9	79824611	79826611	-	ENSMUSG00000034898	Filip1
chr4	131603093	131605093	+	ENSMUSG00000084869	Gm13063
chr6	140371620	140373620	+	ENSMUSG00000030231	Plekha5
chr2	94100556	94102556	-	ENSMUSG00000076335	Mir670
chr3	135147575	135149575	+	ENSMUSG00000028164	Manba
chr5	8367160	8369160	-	ENSMUSG00000040537	Adam22
chr2	136538189	136540189	+	ENSMUSG00000027273	Snap25
chr1	32228651	32230651	+	ENSMUSG00000026058	Khdrbs2
chr4	133620827	133622827	+	ENSMUSG00000012123	Aim1l
chr14	55566979	55568979	-	ENSMUSG00000065432	Mir208a
chr11	95702790	95704790	-	ENSMUSG00000018381	Abi3
chr11	53431171	53433171	-	ENSMUSG00000000869	Il4
chr11	102524030	102526030	+	ENSMUSG00000051455	Gm1564
chr5	105843794	105845794	+	ENSMUSG00000070639	Lrrc8b
chr9	77483539	77485539	+	ENSMUSG00000044938	Klhl31
chr16	20240431	20242431	-	ENSMUSG00000041205	Map6d1
chr3	104582974	104584974	+	ENSMUSG00000002228	Ppm1j
chr14	115442527	115444527	+	ENSMUSG00000076256	Mir19b-1
chr11	3230181	3232181	-	ENSMUSG00000053263	Gm12592
chr15	77949458	77951458	-	ENSMUSG00000019146	Cacng2
chr9	3036111	3038111	+	ENSMUSG00000074558	Gm10715
chr9	43941552	43943552	+	ENSMUSG00000032135	Mcam
chr1	183782320	183784320	-	ENSMUSG00000056699	Gm5533
chr11	103216015	103218015	+	ENSMUSG00000085360	Gm11647
chr4	151664771	151666771	-	ENSMUSG00000028946	Hes3
chr12	72211415	72213415	+	ENSMUSG00000021078	Tomm20l
chrX	92906017	92908017	+	ENSMUSG00000035045	Zc3h12b
chr18	60660637	60662637	-	ENSMUSG00000038059	2010002N04Rik
chr11	67734006	67736006	+	ENSMUSG00000055134	9130017K11Rik
chr1	155032577	155034577	-	ENSMUSG00000026479	Lamc2
chr8	34626210	34628210	+	ENSMUSG00000009628	Tex15
chr11	106781029	106783029	-	ENSMUSG00000018363	Smurf2
chr7	31241709	31243709	-	ENSMUSG00000036915	Kirrel2
chr9	3016408	3018408	+	ENSMUSG00000074563	Gm10719
chr11	69608445	69610445	-	ENSMUSG00000041189	Chrnb1
chr18	74224013	74226013	-	ENSMUSG00000024558	Mapk4
chr19	59293138	59295138	+	ENSMUSG00000040901	Kcnk18
chr2	32207849	32209849	-	ENSMUSG00000026825	Dnm1
chr14	28434614	28436614	+	ENSMUSG00000040640	Erc2
chr1	129934146	129936146	+	ENSMUSG00000058603	Rpl28-ps1
chr18	37570328	37572328	+	ENSMUSG00000045657	Pcdhb10
chr4	86519300	86521300	+	ENSMUSG00000038007	Acer2
chr2	151968297	151970297	+	ENSMUSG00000068079	Tcf15
chr15	10105993	10107993	+	ENSMUSG00000005268	Prlr
chr9	54348567	54350567	-	ENSMUSG00000041268	Dmxl2
chr19	36628129	36630129	+	ENSMUSG00000041180	Hectd2
chr3	36120197	36122197	-	ENSMUSG00000058400	Qrfpr
chr9	3033599	3035599	+	ENSMUSG00000091057	Gm17535
chr4	122770271	122772271	-	ENSMUSG00000086153	Gm12923
chr4	137417152	137419152	+	ENSMUSG00000057530	Ece1
chr7	86858072	86860072	-	ENSMUSG00000050382	Kif7
chr5	135581761	135583761	+	ENSMUSG00000005373	Mlxipl
chr1	84930700	84932700	-	ENSMUSG00000026220	Slc16a14
chr9	2999922	3001922	+	ENSMUSG00000091028	Gm10722
chr7	130642963	130644963	-	ENSMUSG00000030757	Zkscan2
chr9	50816178	50818178	-	ENSMUSG00000037112	Sik2
chr7	70588415	70590415	-	ENSMUSG00000087315	4930554H23Rik
chr17	46682337	46684337	-	ENSMUSG00000040327	Cul9
chr8	48530716	48532716	-	ENSMUSG00000086634	4930448N21Rik
chr15	97995056	97997056	-	ENSMUSG00000048175	Asb8
chr5	75097624	75099624	+	ENSMUSG00000085657	Gm15984
chr15	68757850	68759850	+	ENSMUSG00000022332	Khdrbs3
chr4	8165188	8167188	-	ENSMUSG00000041261	Car8
chr3	98744179	98746179	-	ENSMUSG00000085121	5730437C11Rik
chr11	16156727	16158727	+	ENSMUSG00000048834	Vstm2a
chr2	156440184	156442184	-	ENSMUSG00000087508	Gm14174
chr17	45870455	45872455	+	ENSMUSG00000086615	Gm16862
chr11	75344196	75346196	+	ENSMUSG00000038178	Slc43a2
chr15	101833773	101835773	-	ENSMUSG00000049382	Krt8
chr9	47337256	47339256	+	ENSMUSG00000032076	Cadm1
chr1	138026760	138028760	-	ENSMUSG00000086264	Gm15850
chr18	33622683	33624683	-	ENSMUSG00000042834	D0H4S114
chr9	107808220	107810220	+	ENSMUSG00000032584	Mst1r
chr15	38147958	38149958	+	ENSMUSG00000061923	Odf1
chr7	5007713	5009713	-	ENSMUSG00000086604	Gm15510
chr6	127395858	127397858	+	ENSMUSG00000037997	Parp11
chr1	162967213	162969213	+	ENSMUSG00000064968	Snord47
chr12	33795827	33797827	+	ENSMUSG00000084979	Gm16267
chr7	125727250	125729250	-	ENSMUSG00000042246	Tmc7
chr18	12463229	12465229	-	ENSMUSG00000057766	Ankrd29
chr2	112228654	112230654	-	ENSMUSG00000081541	Gm13940
chr10	120335157	120337157	-	ENSMUSG00000051236	Msrb3
chr10	63552025	63554025	-	ENSMUSG00000042846	Lrrtm3
chr11	71854534	71856534	+	ENSMUSG00000020808	Fam64a
chr18	58714911	58716911	+	ENSMUSG00000024600	Slc27a6
chr4	43441006	43443006	-	ENSMUSG00000042788	Fam166b
chr9	3003457	3005457	+	ENSMUSG00000090650	Gm11168
chr4	19967857	19969857	+	ENSMUSG00000073987	Ggh
chr5	34630098	34632098	-	ENSMUSG00000037224	Zfyve28
chr18	65589617	65591617	+	ENSMUSG00000032688	Malt1
chr12	85598923	85600923	-	ENSMUSG00000042962	Gm5436
chr2	143372573	143374573	-	ENSMUSG00000086171	C630020P19Rik
chr7	69520865	69522865	+	ENSMUSG00000056972	Magel2
chr1	69731534	69733534	-	ENSMUSG00000025997	Ikzf2
chr4	142983331	142985331	+	ENSMUSG00000041805	Pramel1
chr17	31813878	31815878	+	ENSMUSG00000024041	Cryaa
chr6	124806770	124808770	-	ENSMUSG00000023191	Leprel2
chr17	24825900	24827900	-	ENSMUSG00000007021	Syngr3
chr3	69662818	69664818	-	ENSMUSG00000043461	1110032A04Rik
chr7	96780634	96782634	-	ENSMUSG00000092071	A230065N10Rik
chr1	72329943	72331943	+	ENSMUSG00000026188	Tmem169
chr5	147071579	147073579	+	ENSMUSG00000093077	Mir5105
chr10	121483371	121485371	-	ENSMUSG00000020121	Srgap1
chr2	157971172	157973172	-	ENSMUSG00000037820	Tgm2
chr2	140496186	140498186	-	ENSMUSG00000079021	Flrt3
chr3	94216218	94218218	+	ENSMUSG00000041912	Tdrkh
chr3	91886064	91888064	-	ENSMUSG00000043165	Lor
chr9	77898765	77900765	+	ENSMUSG00000023333	Gcm1
chr2	66277937	66279937	+	ENSMUSG00000087301	Gm13629
chr14	79789585	79791585	-	ENSMUSG00000022020	Naa16
chr5	143177055	143179055	+	ENSMUSG00000050822	Slc29a4
chr10	80596965	80598965	+	ENSMUSG00000035011	Zbtb7a
chr18	37466109	37468109	+	ENSMUSG00000045689	Pcdhb4
chr1	23389014	23391014	-	ENSMUSG00000026158	Ogfrl1
chr15	3532492	3534492	-	ENSMUSG00000055737	Ghr
chr11	83241957	83243957	-	ENSMUSG00000020686	Gas2l2
chr13	21453696	21455696	+	ENSMUSG00000036721	Zscan12
chr4	53643343	53645343	+	ENSMUSG00000054752	Fsd1l
chr15	98557629	98559629	-	ENSMUSG00000003355	Fkbp11
chr12	112654228	112656228	+	ENSMUSG00000021280	1200009I06Rik
chr10	34017713	34019713	-	ENSMUSG00000091266	Gm17321
chr8	126383109	126385109	-	ENSMUSG00000031971	1700054N08Rik
chr3	96022632	96024632	-	ENSMUSG00000015943	Bola1
chr2	153317526	153319526	+	ENSMUSG00000079001	4930404H24Rik
chr12	70863931	70865931	-	ENSMUSG00000076065	Mir681
chr1	101668342	101670342	+	ENSMUSG00000067028	Cntnap5b
chr1	194978306	194980306	+	ENSMUSG00000026638	Irf6
chr6	38824403	38826403	+	ENSMUSG00000029925	Tbxas1
chr7	46700544	46702544	-	ENSMUSG00000046372	Gm5590
chr7	17056162	17058162	+	ENSMUSG00000065893	n-R5s151
chr11	97913776	97915776	-	ENSMUSG00000017400	Stac2
chr6	91161449	91163449	+	ENSMUSG00000064080	Fbln2
chr5	108978043	108980043	-	ENSMUSG00000033615	Cplx1
chr4	43665466	43667466	-	ENSMUSG00000066196	Spag8
chr8	64405884	64407884	+	ENSMUSG00000037921	Ddx60
chr19	4268172	4270172	-	ENSMUSG00000034616	Ssh3
chr10	62665700	62667700	-	ENSMUSG00000020067	Mypn
chr6	122768932	122770932	+	ENSMUSG00000003154	Foxj2
chr8	112691110	112693110	-	ENSMUSG00000003657	Calb2
chr11	101948829	101950829	-	ENSMUSG00000017314	Mpp2
chr17	74153181	74155181	+	ENSMUSG00000024065	Ehd3
chr9	50559863	50561863	+	ENSMUSG00000032060	Cryab
chr4	126286062	126288062	+	ENSMUSG00000073755	5730409E04Rik
chr11	98411411	98413411	+	ENSMUSG00000017195	Zpbp2
chr9	65737044	65739044	+	ENSMUSG00000040204	2810417H13Rik
chr17	56614906	56616906	-	ENSMUSG00000013236	Ptprs
chr10	21600990	21602990	+	ENSMUSG00000019970	Sgk1
chr2	25253871	25255871	+	ENSMUSG00000015094	Npdc1
chr15	88905282	88907282	-	ENSMUSG00000087331	1810021B22Rik
chr2	136212703	136214703	-	ENSMUSG00000039913	Pak7
chr1	65002398	65004398	-	ENSMUSG00000051344	Plekhm3
chr11	105868438	105870438	+	ENSMUSG00000001901	Kcnh6
chr1	93354907	93356907	-	ENSMUSG00000055866	Per2
chr6	29456952	29458952	-	ENSMUSG00000059022	Kcp
chr19	45062591	45064591	+	ENSMUSG00000025207	Sema4g
chr6	87284769	87286769	-	ENSMUSG00000033420	Antxr1
chr11	65082491	65084491	-	ENSMUSG00000020542	Myocd
chr7	20436352	20438352	+	ENSMUSG00000092216	Gm19345
chr10	57503687	57505687	+	ENSMUSG00000019874	Fabp7
chr9	3019155	3021155	+	ENSMUSG00000079719	Gm11167
chr15	34235436	34237436	+	ENSMUSG00000022324	Matn2
chr11	69210736	69212736	-	ENSMUSG00000045377	Tmem88
chr6	29456725	29458725	+	ENSMUSG00000072491	Gm17515
chr11	102592719	102594719	+	ENSMUSG00000086162	Gm16342
chr7	19702717	19704717	-	ENSMUSG00000085601	Gm4969
chr1	17716126	17718126	+	ENSMUSG00000025776	Crispld1
chr6	127718490	127720490	-	ENSMUSG00000030350	Prmt8
chr4	41586357	41588357	-	ENSMUSG00000028445	Enho
chr4	69513981	69515981	+	ENSMUSG00000085627	Gm11222
chr17	17966152	17968152	+	ENSMUSG00000065396	Mir99b
chr18	43366351	43368351	+	ENSMUSG00000039954	Stk32a
chr1	188948017	188950017	+	ENSMUSG00000089730	1700007P06Rik
chr1	134211703	134213703	+	ENSMUSG00000009772	Nuak2
chr5	136019992	136021992	-	ENSMUSG00000039959	Hip1
chr8	107871158	107873158	+	ENSMUSG00000014786	Slc9a5
